racedate,venue,race_no,url,overlay,anchor_horse_no,win_div,q_partner2,q_partner3,q_div_12,q_div_13,stake_win,stake_q_total,stake_total,return_win,return_q_total,return_total,profit_total,q_hit_any
2025/12/20,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/20&Racecourse=ST&RaceNo=7,0.19962073779660958,2,29.5,7,12,,214.0,10.0,20.0,30.0,29.5,214.0,243.5,213.5,True
2025/12/20,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/20&Racecourse=ST&RaceNo=9,0.34438564107439423,7,,9,4,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/12/20,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/20&Racecourse=ST&RaceNo=10,0.1705611930386106,1,,7,4,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/12/20,ST,11,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/20&Racecourse=ST&RaceNo=11,0.18578224898076046,4,,5,12,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/12/23,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/23&Racecourse=HV&RaceNo=6,0.14374941230569938,12,,3,8,179.0,,10.0,20.0,30.0,0.0,179.0,179.0,149.0,True
2025/12/27,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/27&Racecourse=ST&RaceNo=3,0.17380839441312027,6,,5,8,132.0,,10.0,20.0,30.0,0.0,132.0,132.0,102.0,True
2026/01/07,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/07&Racecourse=HV&RaceNo=6,0.2269108788290617,5,,2,1,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/01/11,ST,10,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/11&Racecourse=ST&RaceNo=10,0.15443290847081276,1,28.5,10,11,,,10.0,20.0,30.0,28.5,0.0,28.5,-1.5,False
2026/01/14,HV,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/14&Racecourse=HV&RaceNo=4,0.1597328592986565,3,,4,6,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/01/14,HV,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/14&Racecourse=HV&RaceNo=7,0.19840437493733543,4,,8,6,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/01/21,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/21&Racecourse=ST&RaceNo=2,0.18249677388395383,6,,11,4,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/01/21,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/21&Racecourse=ST&RaceNo=9,0.2244815782694062,13,,4,5,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/01/25,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/01/25&Racecourse=ST&RaceNo=8,0.311653054799063,1,,2,5,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/02/01,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/01&Racecourse=ST&RaceNo=6,0.2528944393256533,7,,5,10,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/02/01,ST,11,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/01&Racecourse=ST&RaceNo=11,0.17950352734474123,6,22.0,2,3,51.5,,10.0,20.0,30.0,22.0,51.5,73.5,43.5,True
2026/02/04,HV,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/04&Racecourse=HV&RaceNo=3,0.2146755290428472,8,,3,6,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/02/11,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/11&Racecourse=HV&RaceNo=6,0.1971155165209712,2,,9,5,,128.0,10.0,20.0,30.0,0.0,128.0,128.0,98.0,True
2026/02/19,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/19&Racecourse=ST&RaceNo=3,0.2038918856421579,9,,14,1,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2026/02/19,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2026/02/19&Racecourse=ST&RaceNo=8,0.14138538960505553,1,,14,8,124.5,,10.0,20.0,30.0,0.0,124.5,124.5,94.5,True
