racedate,venue,race_no,url,overlay,anchor_horse_no,win_div,q_partner2,q_partner3,q_div_12,q_div_13,stake_win,stake_q_total,stake_total,return_win,return_q_total,return_total,profit_total,q_hit_any
2025/10/08,HV,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/08&Racecourse=HV&RaceNo=1,0.1943781601395686,6,,2,10,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/10/12,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/12&Racecourse=ST&RaceNo=1,0.2608158794106495,7,,3,5,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/10/15,HV,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/15&Racecourse=HV&RaceNo=9,0.34160001182381555,8,54.5,6,2,139.0,,10.0,20.0,30.0,54.5,139.0,193.5,163.5,True
2025/10/22,HV,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/22&Racecourse=HV&RaceNo=1,0.14587594156969447,2,,10,4,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/10/26,ST,1,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/26&Racecourse=ST&RaceNo=1,0.23690040765034773,1,,13,11,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/10/30,ST,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/10/30&Racecourse=ST&RaceNo=2,0.17727051958054588,6,,12,3,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/11/02,HV,2,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/02&Racecourse=HV&RaceNo=2,0.18131687740726213,1,,12,2,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/11/15,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/15&Racecourse=ST&RaceNo=7,0.16761602069871276,9,33.5,11,10,,,10.0,20.0,30.0,33.5,0.0,33.5,3.5,False
2025/11/23,ST,3,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/23&Racecourse=ST&RaceNo=3,0.15058999283579588,1,32.0,10,14,,,10.0,20.0,30.0,32.0,0.0,32.0,2.0,False
2025/11/23,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/23&Racecourse=ST&RaceNo=8,0.1539897121497719,1,,2,5,16.0,,10.0,20.0,30.0,0.0,16.0,16.0,-14.0,True
2025/11/26,HV,4,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/26&Racecourse=HV&RaceNo=4,0.17362121012947962,8,,4,11,114.5,,10.0,20.0,30.0,0.0,114.5,114.5,84.5,True
2025/11/26,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/26&Racecourse=HV&RaceNo=6,0.18589827747280918,1,,9,5,,84.5,10.0,20.0,30.0,0.0,84.5,84.5,54.5,True
2025/11/26,HV,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/26&Racecourse=HV&RaceNo=8,0.1623701449067,7,,12,1,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/11/30,ST,7,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/11/30&Racecourse=ST&RaceNo=7,0.20993683033035918,3,,12,2,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/12/03,HV,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/03&Racecourse=HV&RaceNo=8,0.15045671569560148,4,,5,1,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/12/07,ST,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/07&Racecourse=ST&RaceNo=6,0.15894388451009978,7,,4,13,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/12/07,ST,9,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/07&Racecourse=ST&RaceNo=9,0.3004086123573442,13,,3,1,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
2025/12/14,ST,8,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/14&Racecourse=ST&RaceNo=8,0.42402023713890225,1,11.0,2,5,23.5,,10.0,20.0,30.0,11.0,23.5,34.5,4.5,True
2025/12/17,HV,6,https://racing.hkjc.com/zh-hk/local/information/localresults?racedate=2025/12/17&Racecourse=HV&RaceNo=6,0.20640077500737605,8,,10,12,,,10.0,20.0,30.0,0.0,0.0,0.0,-30.0,False
