2024/09/08 ST R04 pair 4-10 p12=1.908 | Q=- | QP=189.5
2024/09/08 ST R08 pair 1-13 p12=1.915 | Q=- | QP=307.5
2024/09/08 ST R10 pair 5-9 p12=1.903 | Q=- | QP=43.0
2024/09/18 HV R03 pair 1-9 p12=1.904 | Q=- | QP=67.5
2024/09/18 HV R06 pair 2-5 p12=1.910 | Q=388.5 | QP=126.0
2024/09/28 ST R03 pair 5-8 p12=1.903 | Q=- | QP=217.5
2024/09/28 ST R08 pair 1-5 p12=1.919 | Q=- | QP=304.0
2024/09/28 ST R09 pair 6-7 p12=1.925 | Q=- | QP=33.0
2024/09/28 ST R10 pair 3-5 p12=1.912 | Q=485.5 | QP=155.5
2024/10/01 ST R03 pair 2-9 p12=1.913 | Q=- | QP=68.5
2024/10/01 ST R06 pair 1-8 p12=1.936 | Q=- | QP=237.0
2024/10/09 HV R03 pair 4-7 p12=1.913 | Q=416.5 | QP=150.0
2024/10/13 ST R04 pair 2-3 p12=1.923 | Q=- | QP=391.0
2024/10/20 ST R07 pair 1-2 p12=1.935 | Q=- | QP=19.5
2024/10/20 ST R08 pair 2-13 p12=1.924 | Q=- | QP=34.0
2024/10/27 HV R02 pair 6-9 p12=1.901 | Q=- | QP=48.5
2024/10/30 HV R08 pair 3-9 p12=1.920 | Q=- | QP=29.0
2024/11/09 ST R07 pair 2-8 p12=1.929 | Q=- | QP=153.0
2024/11/09 ST R08 pair 3-7 p12=1.918 | Q=- | QP=91.5
2024/11/17 ST R01 pair 2-3 p12=1.902 | Q=2364.5 | QP=491.5
2024/11/17 ST R08 pair 1-9 p12=1.903 | Q=247.0 | QP=54.0
2024/12/04 HV R05 pair 1-2 p12=1.946 | Q=- | QP=314.5
2024/12/08 ST R03 pair 4-14 p12=1.933 | Q=4533.0 | QP=1204.0
2024/12/15 ST R03 pair 5-10 p12=1.906 | Q=- | QP=128.5
2025/01/05 ST R07 pair 1-6 p12=1.901 | Q=- | QP=272.5
2025/01/12 ST R07 pair 4-6 p12=1.907 | Q=72.0 | QP=29.0
2025/01/26 ST R06 pair 2-7 p12=1.902 | Q=199.5 | QP=68.5
2025/01/26 ST R08 pair 5-7 p12=1.913 | Q=- | QP=173.5
2025/01/31 ST R05 pair 1-6 p12=1.906 | Q=- | QP=98.0
2025/01/31 ST R09 pair 2-11 p12=1.913 | Q=- | QP=158.5
2025/02/16 ST R10 pair 2-4 p12=1.926 | Q=- | QP=122.0
2025/02/23 ST R05 pair 4-5 p12=1.908 | Q=- | QP=95.0
2025/02/26 HV R01 pair 3-4 p12=1.902 | Q=68.5 | QP=-
2025/03/05 HV R01 pair 8-10 p12=1.926 | Q=331.5 | QP=95.5
2025/03/05 HV R08 pair 1-10 p12=1.952 | Q=- | QP=42.5
2025/03/05 HV R09 pair 4-5 p12=1.904 | Q=85.5 | QP=35.0
2025/03/09 ST R05 pair 2-8 p12=1.909 | Q=- | QP=89.0
2025/03/09 ST R08 pair 6-7 p12=1.905 | Q=- | QP=54.0
2025/03/23 ST R02 pair 3-5 p12=1.919 | Q=- | QP=22.0
2025/03/23 ST R07 pair 6-9 p12=1.921 | Q=- | QP=295.0
2025/03/23 ST R09 pair 3-10 p12=1.901 | Q=- | QP=64.0
2025/03/30 ST R05 pair 8-10 p12=1.919 | Q=- | QP=1286.5
2025/04/06 ST R04 pair 3-4 p12=1.904 | Q=242.5 | QP=75.5
2025/04/27 ST R04 pair 6-10 p12=1.917 | Q=86.5 | QP=34.0
2025/04/27 ST R05 pair 2-6 p12=1.910 | Q=- | QP=58.5
2025/04/27 ST R06 pair 4-5 p12=1.903 | Q=- | QP=40.0
2025/04/27 ST R07 pair 2-13 p12=1.902 | Q=- | QP=106.5
2025/04/27 ST R08 pair 2-4 p12=1.969 | Q=- | QP=294.0
2025/05/14 HV R05 pair 3-7 p12=1.901 | Q=- | QP=277.5
2025/06/04 HV R08 pair 1-9 p12=1.912 | Q=245.5 | QP=96.5
2025/06/14 ST R09 pair 5-7 p12=1.903 | Q=- | QP=106.5
2025/06/22 ST R06 pair 6-7 p12=1.933 | Q=- | QP=100.0
